section_number,title,negative,neutral,positive,compound
1,Letter 1,0.058,0.749,0.193,0.9996
2,Letter 2,0.09,0.687,0.223,0.9997
3,Letter 3,0.046,0.73,0.224,0.9955
4,Letter 4,0.104,0.726,0.17,0.9997
5,Chapter 1,0.078,0.721,0.201,0.9998
6,Chapter 2,0.088,0.717,0.195,0.9998
7,Chapter 3,0.095,0.775,0.13,0.9985
8,Chapter 4,0.11,0.717,0.172,0.9996
9,Chapter 5,0.144,0.72,0.136,-0.9729
10,Chapter 6,0.09,0.7,0.21,0.9999
11,Chapter 7,0.181,0.658,0.161,-0.9988
12,Chapter 8,0.218,0.631,0.151,-0.9998
13,Chapter 9,0.167,0.659,0.175,0.9839
14,Chapter 10,0.16,0.719,0.121,-0.9989
15,Chapter 11,0.086,0.778,0.135,0.9996
16,Chapter 12,0.094,0.74,0.166,0.9996
17,Chapter 13,0.075,0.722,0.204,0.9999
18,Chapter 14,0.108,0.744,0.148,0.9967
19,Chapter 15,0.103,0.694,0.204,0.9999
20,Chapter 16,0.162,0.719,0.118,-0.9996
21,Chapter 17,0.172,0.704,0.124,-0.999
22,Chapter 18,0.116,0.699,0.185,0.9998
23,Chapter 19,0.102,0.751,0.147,0.9992
24,Chapter 20,0.147,0.745,0.108,-0.9995
25,Chapter 21,0.176,0.688,0.136,-0.9997
26,Chapter 22,0.158,0.655,0.187,0.999
27,Chapter 23,0.177,0.716,0.108,-0.9997
28,Chapter 24,0.178,0.666,0.156,-0.9998
